itemID,itemTitle,Attributes
191,Item 163,Attribute6|Attribute7
193,Item 164,Attribute6
194,Item 165,Attribute4|Attribute6
195,Item 166,Attribute4|Attribute6|Attribute7
196,Item 167,Attribute13|Attribute11
198,Item 168,Attribute8|Attribute9|Attribute6|Attribute12|Attribute11|Attribute10
199,Item 169,Attribute6|Attribute14|Attribute7
201,Item 170,Attribute6|Attribute5
202,Item 171,Attribute6|Attribute7
203,Item 172,Attribute4
204,Item 173,Attribute8
205,Item 174,Attribute4|Attribute6
206,Item 175,Attribute15
207,Item 176,Attribute6|Attribute7
208,Item 177,Attribute8|Attribute1|Attribute11
209,Item 178,Attribute6
210,Item 179,Attribute18
211,Item 180,Attribute6
212,Item 181,Attribute1|Attribute4|Attribute9|Attribute12
213,Item 182,Attribute6
214,Item 183,Attribute6|Attribute16
215,Item 184,Attribute6|Attribute7
216,Item 185,Attribute4
217,Item 186,Attribute6|Attribute10
218,Item 187,Attribute4|Attribute6
219,Item 188,Attribute6
220,Item 189,Attribute13
222,Item 190,Attribute6|Attribute7
223,Item 191,Attribute4
224,Item 192,Attribute4|Attribute6|Attribute7
225,Item 193,Attribute6|Attribute10
227,Item 194,Attribute8|Attribute10
228,Item 195,Attribute4
229,Item 196,Attribute6|Attribute10
230,Item 197,Attribute6|Attribute10
231,Item 198,Attribute1|Attribute4
232,Item 199,Attribute4|Attribute6|Attribute7
233,Item 200,Attribute6
234,Item 201,Attribute4
235,Item 202,Attribute4|Attribute6
236,Item 203,Attribute8|Attribute4|Attribute7
237,Item 204,Attribute4|Attribute7
238,Item 205,Attribute1|Attribute3
239,Item 206,Animation|Attribute3|Attribute4|Attribute7
240,Item 207,Attribute10
241,Item 208,Attribute3|Attribute6
242,Item 209,Attribute6|Attribute14
243,Item 210,Attribute3|Attribute4|Attribute5
246,Item 211,Attribute15
247,Item 212,Attribute9|Attribute6
248,Item 213,Attribute4
249,Item 214,Attribute6|Attribute7
250,Item 215,Attribute3|Attribute4
251,Item 216,Attribute8
252,Item 217,Attribute4|Attribute7
253,Item 218,Attribute6|Attribute13
254,Item 219,Attribute6
255,Item 220,Attribute4
256,Item 221,Attribute4|Attribute11
257,Item 222,Attribute12|Attribute10
258,Item 223,Attribute1|Attribute3|Attribute4|Attribute5|Attribute7
259,Item 224,Attribute9|Attribute6|Attribute10
260,Item 225,Attribute8|Attribute1|Attribute11
261,Item 226,Attribute6
262,Item 227,Attribute3|Attribute6
263,Item 228,Attribute6
265,Item 229,Attribute6|Attribute5|Attribute7
266,Item 230,Attribute6|Attribute7|Attribute16|Attribute18
267,Item 231,Attribute4
269,Item 232,Attribute6
270,Item 233,Attribute6|Attribute7
271,Item 234,Attribute6
272,Item 235,Attribute4|Attribute6
273,Item 236,Attribute6|Attribute13|Attribute11
274,Item 237,Attribute4
275,Item 238,Attribute4
276,Item 239,Attribute4|Attribute7
277,Item 240,Attribute6
278,Item 241,Attribute4
279,Item 242,Attribute6
280,Item 243,Attribute6|Attribute10
281,Item 244,Attribute4|Attribute6|Attribute7
282,Item 245,Attribute6
283,Item 246,Attribute9|Attribute6
284,Item 247,Attribute8|Attribute9
285,Item 248,Attribute6|Attribute13
287,Item 249,Attribute4|Attribute7
288,Item 250,Attribute8|Attribute9|Attribute10
289,Item 251,Attribute4|Attribute7
290,Item 252,Attribute9|Attribute6
291,Item 253,Attribute6|Attribute10
292,Item 254,Attribute8|Attribute6|Attribute11|Attribute10
293,Item 255,Attribute8|Attribute9|Attribute6|Attribute10
294,Item 256,Attribute4|Attribute7
295,Item 257,Attribute4|Attribute7
296,Item 258,Attribute4|Attribute9|Attribute6|Attribute10
298,Item 259,Attribute6
299,Item 260,Attribute6
300,Item 261,Attribute6
301,Item 262,Attribute6|Attribute7
302,Item 263,Attribute6|Attribute7
303,Item 264,Attribute8|Attribute10|Attribute18
304,Item 265,Attribute4|Attribute6
305,Item 266,Attribute4
306,Item 267,Attribute6
307,Item 268,Attribute6
308,Item 269,Attribute4|Attribute6
310,Item 270,Attribute4
311,Item 271,Attribute13|Attribute10
312,Item 272,Attribute4
313,Item 273,Animation|Attribute3
314,Item 274,Attribute3|Attribute6|Attribute5|Attribute12
315,Item 275,Attribute8|Attribute6|Attribute10
316,Item 276,Attribute8|Attribute1|Attribute11
317,Item 277,Attribute4|Attribute6|Attribute5
318,Item 278,Attribute9|Attribute6
319,Item 279,Attribute4|Attribute6|Attribute10
320,Item 280,Attribute19|Attribute10
321,Item 281,Attribute6
322,Item 282,Attribute4|Attribute6
324,Item 283,Attribute4|Attribute6
325,Item 284,Attribute4
326,Item 285,Attribute6
327,Item 286,Attribute8|Attribute4|Attribute11
328,Item 287,Attribute13|Attribute10
329,Item 288,Attribute1|Attribute6|Attribute11
330,Item 289,Attribute8|Attribute9|Attribute13
331,Item 290,Attribute6
332,Item 291,Attribute13|Attribute11
333,Item 292,Attribute4
334,Item 293,Attribute6
335,Item 294,Attribute12|Attribute10
336,Item 295,Attribute6|Attribute16
337,Item 296,Attribute6
338,Item 297,Attribute8|Attribute11|Attribute10
339,Item 298,Attribute4|Attribute7
340,Item 299,Attribute1|Attribute6|Attribute16
341,Item 300,Attribute6
342,Item 301,Attribute4
343,Item 302,Attribute3
344,Item 303,Attribute4
345,Item 304,Attribute4|Attribute6
346,Item 305,Attribute6|Attribute14
347,Item 306,Attribute6|Attribute19|Attribute7
348,Item 307,Attribute4
349,Item 308,Attribute8|Attribute9|Attribute6|Attribute10
350,Item 309,Attribute6|Attribute12|Attribute10
351,Item 310,Attribute4|Attribute6|Attribute7
352,Item 311,Attribute4|Attribute6
353,Item 312,Attribute8|Attribute9|Attribute5|Attribute10
354,Item 313,Attribute6
355,Item 314,Attribute3|Attribute4|Attribute5
356,Item 315,Attribute4|Attribute6|Attribute7|Attribute16
357,Item 316,Attribute4|Attribute7
358,Item 317,Attribute6
359,Item 318,Attribute4|Attribute6|Attribute7
360,Item 319,Attribute8|Attribute4
361,Item 320,Attribute4|Attribute6|Attribute7
362,Item 321,Attribute1|Attribute3|Attribute7
363,Item 322,Attribute15
364,Item 323,Attribute1|Animation|Attribute3|Attribute6|Attribute14|Attribute17
365,Item 324,Attribute6
366,Item 325,Attribute6|Attribute13|Attribute12|Attribute10
367,Item 326,Attribute8|Attribute4|Attribute9|Attribute5
368,Item 327,Attribute1|Attribute4|Attribute18
369,Item 328,Attribute6
370,Item 329,Attribute8|Attribute4
371,Item 330,Attribute4|Attribute6
372,Item 331,Attribute4|Attribute6|Attribute7
373,Item 332,Attribute10
374,Item 333,Attribute3|Attribute4
376,Item 334,Attribute8|Attribute10
377,Item 335,Attribute8|Attribute7|Attribute10
378,Item 336,Attribute4|Attribute7
379,Item 337,Attribute8|Attribute11|Attribute10
380,Item 338,Attribute8|Attribute1|Attribute4|Attribute7|Attribute10
381,Item 339,Attribute6|Attribute7
382,Item 340,Attribute6|Attribute13|Attribute7|Attribute10
383,Item 341,Attribute18
384,Item 342,Attribute8|Attribute9|Attribute6
385,Item 343,Attribute6
386,Item 344,Attribute6
387,Item 345,Attribute8|Attribute4
388,Item 346,Attribute6
389,Item 347,Attribute6|Attribute7|Attribute16
390,Item 348,Attribute8|Attribute9|Attribute6
391,Item 349,Attribute9|Attribute6
393,Item 350,Attribute8|Attribute1|Attribute5
405,Item 351,Attribute8|Attribute5
406,Item 352,Attribute6
407,Item 353,Attribute13|Attribute10
408,Item 354,Attribute6
409,Item 355,Attribute9|Attribute6
410,Item 356,Attribute3|Attribute4|Attribute5
412,Item 357,Attribute6
413,Item 358,Attribute4
414,Item 359,Attribute4
415,Item 360,Attribute4|Attribute10
416,Item 361,Attribute18
417,Item 362,Attribute4|Attribute7
418,Item 363,Attribute6
419,Item 364,Attribute4
420,Item 365,Attribute8|Attribute4|Attribute9|Attribute10
421,Item 366,Attribute1|Attribute3|Attribute6
422,Item 367,Attribute10
423,Item 368,Attribute8|Attribute10
424,Item 369,Attribute6
425,Item 370,Attribute6|Attribute7
426,Item 371,Attribute13|Attribute11|Attribute10
427,Item 372,Attribute6|Attribute12|Attribute7|Attribute10
428,Item 373,Attribute6
429,Item 374,Attribute4
430,Item 375,Attribute4|Attribute6
431,Item 376,Attribute9|Attribute6
432,Item 377,Attribute1|Attribute4|Attribute18
433,Item 378,Attribute4
434,Item 379,Attribute8|Attribute1|Attribute10
435,Item 380,Attribute4|Attribute11
436,Item 381,Attribute6|Attribute10
437,Item 382,Attribute4
438,Item 383,Attribute8|Attribute4|Attribute6
440,Item 384,Attribute4|Attribute7
441,Item 385,Attribute4
442,Item 386,Attribute8|Attribute1|Attribute11
444,Item 387,Attribute4|Attribute7
445,Item 388,Attribute4
446,Item 389,Attribute6|Attribute7
448,Item 390,Attribute6
449,Item 391,Attribute4
450,Item 392,Attribute4|Attribute6
451,Item 393,Attribute6|Attribute12|Attribute7
452,Item 394,Attribute6
453,Item 395,Attribute4|Attribute7
454,Item 396,Attribute6|Attribute10
455,Item 397,Attribute1|Attribute3|Attribute6
456,Item 398,Attribute9|Attribute6|Attribute10
457,Item 399,Attribute10
458,Item 400,Attribute6|Attribute18
459,Item 401,Attribute8|Attribute1|Attribute9|Attribute6|Attribute7|Attribute10
460,Item 402,Attribute4
461,Item 403,Attribute6|Attribute7
464,Item 404,Attribute8|Attribute1|Attribute9|Attribute10
466,Item 405,Attribute8|Attribute4|Attribute16
467,Item 406,Attribute4
468,Item 407,Attribute4|Attribute7
469,Item 408,Attribute6|Attribute7
470,Item 409,Attribute4
471,Item 410,Attribute4
472,Item 411,Attribute4|Attribute6
473,Item 412,Attribute4|Attribute16
474,Item 413,Attribute8|Attribute10
475,Item 414,Attribute6
476,Item 415,Attribute4|Attribute6
477,Item 416,Attribute6|Attribute14
478,Item 417,Attribute4|Attribute9|Attribute6
479,Item 418,Attribute8|Attribute9|Attribute10
480,Item 419,Attribute8|Attribute1|Attribute11|Attribute10
481,Item 420,Attribute6|Attribute10
482,Item 421,Attribute9|Attribute6|Attribute10
484,Item 422,Attribute1|Attribute3
485,Item 423,Attribute8|Attribute1|Attribute4|Attribute5
486,Item 424,Attribute4
487,Item 425,Attribute4|Attribute18
488,Item 426,Attribute6|Attribute7
489,Item 427,Attribute4
490,Item 428,Attribute10
491,Item 429,Attribute6
492,Item 430,Attribute4|Attribute12
493,Item 431,Attribute8|Attribute9|Attribute6
494,Item 432,Attribute8|Attribute1|Attribute10
495,Item 433,Attribute6
496,Item 434,Attribute4|Attribute6|Attribute7|Attribute10
497,Item 435,Attribute4|Attribute7
499,Item 436,Attribute4|Attribute7
500,Item 437,Attribute4|Attribute6
501,Item 438,Attribute6
502,Item 439,Attribute8|Attribute3|Attribute7
504,Item 440,Attribute8|Attribute6|Attribute11
505,Item 441,Attribute4
506,Item 442,Attribute6|Attribute5|Attribute7
507,Item 443,Attribute9|Attribute6|Attribute10
508,Item 444,Attribute6
509,Item 445,Attribute6|Attribute7
510,Item 446,Attribute6
511,Item 447,Attribute8|Attribute6
512,Item 448,Attribute13|Attribute11
513,Item 449,Attribute4|Attribute12|Attribute7
514,Item 450,Attribute4
515,Item 451,Attribute6|Attribute7
516,Item 452,Attribute4|Attribute6
517,Item 453,Attribute8|Attribute6|Attribute12
518,Item 454,Attribute4
519,Item 455,Attribute8|Attribute9|Attribute6|Attribute11|Attribute10
520,Item 456,Attribute4
521,Item 457,Attribute9|Attribute10
522,Item 458,Attribute8|Attribute6
523,Item 459,Attribute6
524,Item 460,Attribute6
526,Item 461,Attribute6
527,Item 462,Attribute6|Attribute16
528,Item 463,Attribute4|Attribute6
529,Item 464,Attribute6
531,Item 465,Attribute3|Attribute6
532,Item 466,Attribute4|Attribute9|Attribute13
533,Item 467,Attribute8|Attribute1|Attribute5|Attribute12
534,Item 468,Attribute6|Attribute7
535,Item 469,Attribute6
536,Item 470,Attribute6
537,Item 471,Attribute6
538,Item 472,Attribute6
539,Item 473,Attribute4|Attribute6|Attribute7
540,Item 474,Attribute10
541,Item 475,Attribute8|Attribute11|Attribute10
542,Item 476,Attribute4|Attribute6|Attribute7
543,Item 477,Attribute4|Attribute7|Attribute10
544,Item 478,Attribute8|Attribute9
546,Item 479,Attribute8|Attribute1|Attribute3|Attribute4|Attribute5|Attribute11
547,Item 480,Attribute8|Attribute1|Attribute10
548,Item 481,Attribute8|Attribute12|Attribute10
549,Item 482,Attribute6|Attribute14
550,Item 483,Attribute4|Attribute7
551,Item 484,Animation|Attribute3|Attribute5|Attribute14
552,Item 485,Attribute8|Attribute1|Attribute4|Attribute7
553,Item 486,Attribute8|Attribute6|Attribute18
555,Item 487,Attribute9|Attribute10
556,Item 488,Attribute15
558,Item 489,Attribute8|Attribute1|Animation|Attribute3|Attribute5
562,Item 490,Attribute4|Attribute6
563,Item 491,Attribute6|Attribute7
564,Item 492,Attribute4
567,Item 493,Attribute4|Attribute6
568,Item 494,Attribute4|Attribute6
569,Item 495,Attribute4|Attribute6
573,Item 496,Attribute6
574,Item 497,Attribute4|Attribute6
575,Item 498,Attribute3|Attribute4
577,Item 499,Attribute1|Attribute3|Attribute6
579,Item 500,Attribute9|Attribute10
580,Item 501,Attribute6
581,Item 502,Attribute15
583,Item 503,Attribute4|Attribute6
585,Item 504,Attribute4
586,Item 505,Attribute3|Attribute4
587,Item 506,Attribute4|Attribute6|Attribute5|Attribute7|Attribute10
588,Item 507,Attribute1|Animation|Attribute3|Attribute4|Attribute14
589,Item 508,Attribute8|Attribute11
590,Item 509,Attribute1|Attribute6|Attribute18
592,Item 510,Attribute8|Attribute9|Attribute10
593,Item 511,Attribute9|Attribute13|Attribute10
594,Item 512,Animation|Attribute3|Attribute6|Attribute5|Attribute14
595,Item 513,Animation|Attribute3|Attribute5|Attribute14|Attribute7|Attribute17
596,Item 514,Animation|Attribute3|Attribute5|Attribute14
597,Item 515,Attribute4|Attribute7
599,Item 516,Attribute1|Attribute18
600,Item 517,Attribute8|Attribute4|Attribute9
602,Item 518,Attribute15
605,Item 519,Attribute6|Attribute7
606,Item 520,Attribute5|Attribute13
608,Item 521,Attribute4|Attribute9|Attribute6|Attribute10
609,Item 522,Attribute1|Attribute3
610,Item 523,Attribute8|Attribute1|Animation|Attribute13|Attribute11
611,Item 524,Attribute8|Attribute13|Attribute11
612,Item 525,Attribute4
613,Item 526,Attribute6|Attribute7
615,Item 527,Attribute4|Attribute6
616,Item 528,Animation|Attribute3
617,Item 529,Attribute4|Attribute6
618,Item 530,Attribute4|Attribute7
619,Item 531,Attribute4
626,Item 532,Attribute4
627,Item 533,Attribute6|Attribute10
628,Item 534,Attribute9|Attribute6|Attribute12|Attribute10
631,Item 535,Attribute1|Animation|Attribute3|Attribute5|Attribute14|Attribute7
632,Item 536,Attribute6|Attribute16
633,Item 537,Attribute4
634,Item 538,Attribute4
635,Item 539,Attribute4|Attribute6
636,Item 540,Attribute6
637,Item 541,Attribute4
638,Item 542,Attribute7
639,Item 543,Attribute4|Attribute6
640,Item 544,Attribute6|Attribute10
645,Item 545,Attribute6
647,Item 546,Attribute8|Attribute9|Attribute6|Attribute16
648,Item 547,Attribute8|Attribute1|Attribute12|Attribute10
649,Item 548,Attribute4|Attribute6
650,Item 549,Attribute6
653,Item 550,Attribute8|Attribute1|Attribute5
656,Item 551,Attribute4
661,Item 552,Attribute1|Animation|Attribute3|Attribute5|Attribute14
662,Item 553,Attribute10
663,Item 554,Attribute4
665,Item 555,Attribute4|Attribute6|Attribute16
667,Item 556,Attribute8
668,Item 557,Attribute6
670,Item 558,Attribute6
671,Item 559,Attribute4|Attribute11
673,Item 560,Attribute1|Animation|Attribute3|Attribute4|Attribute5|Attribute11
674,Item 561,Attribute1|Attribute4|Attribute11
678,Item 562,Attribute6|Attribute10
679,Item 563,Attribute6
680,Item 564,Attribute6|Attribute12|Attribute7|Attribute11|Attribute10
685,Item 565,Attribute6
688,Item 566,Attribute8|Attribute1|Attribute4|Attribute16
691,Item 567,Attribute4|Attribute7
692,Item 568,Attribute8|Attribute11|Attribute10
694,Item 569,Attribute8|Attribute9|Attribute6
695,Item 570,Attribute12|Attribute10
697,Item 571,Attribute6|Attribute7
698,Item 572,Attribute6
700,Item 573,Attribute4
703,Item 574,Attribute6
704,Item 575,Attribute8|Attribute1
706,Item 576,Attribute6
707,Item 577,Attribute9|Attribute6|Attribute10
708,Item 578,Attribute4|Attribute7
709,Item 579,Attribute1|Animation|Attribute3|Attribute4|Attribute14
710,Item 580,Attribute4
711,Item 581,Attribute1|Attribute3
714,Item 582,Attribute6|Attribute12|Attribute18
715,Item 583,Attribute6|Attribute7
718,Item 584,Attribute4|Attribute5|Attribute11
719,Item 585,Attribute4
720,Item 586,Attribute1|Animation|Attribute4
722,Item 587,Attribute15
724,Item 588,Attribute6|Attribute5|Attribute13|Attribute10
725,Item 589,Attribute4
726,Item 590,Attribute6
728,Item 591,Attribute4
731,Item 592,Attribute9|Attribute10
733,Item 593,Attribute8|Attribute1|Attribute10
735,Item 594,Attribute13
736,Item 595,Attribute8|Attribute1|Attribute7|Attribute10
737,Item 596,Attribute8|Attribute11
741,Item 597,Animation|Attribute11
742,Item 598,Attribute13|Attribute10
743,Item 599,Attribute4
745,Item 600,Animation|Attribute3|Attribute4
747,Item 601,Attribute4
748,Item 602,Attribute8|Attribute11|Attribute10
750,Item 603,Attribute4|Attribute16
757,Item 604,Attribute6
759,Item 605,Attribute15
760,Item 606,Attribute6|Attribute16
761,Item 607,Attribute8|Attribute1
762,Item 608,Attribute4|Attribute9
764,Item 609,Attribute6|Attribute7
765,Item 610,Attribute4|Attribute6
766,Item 611,Attribute6
773,Item 612,Attribute6
775,Item 613,Attribute13|Attribute12
778,Item 614,Attribute4|Attribute9|Attribute6
779,Item 615,Attribute6|Attribute7
780,Item 616,Attribute8|Attribute1|Attribute11|Attribute10
781,Item 617,Attribute6
782,Item 618,Attribute6|Attribute10
783,Item 619,Animation|Attribute3|Attribute6|Attribute14|Attribute7
784,Item 620,Attribute4|Attribute10
785,Item 621,Attribute4
786,Item 622,Attribute8|Attribute6|Attribute10
788,Item 623,Attribute4|Attribute5|Attribute7|Attribute11
790,Item 624,Attribute6
791,Item 625,Attribute15
795,Item 626,Attribute6
798,Item 627,Attribute8|Attribute1|Attribute6|Attribute10
799,Item 628,Attribute4|Attribute13|Attribute10
800,Item 629,Attribute6|Attribute12|Attribute18
801,Item 630,Attribute3|Attribute4
802,Item 631,Attribute6|Attribute7
803,Item 632,Attribute4|Attribute6|Attribute7
804,Item 633,Attribute4|Attribute7
805,Item 634,Attribute6|Attribute10
806,Item 635,Attribute9|Attribute6
808,Item 636,Attribute1|Attribute3
809,Item 637,Attribute8|Attribute1
810,Item 638,Attribute3|Attribute4|Attribute5
813,Item 639,Attribute4
818,Item 640,Attribute4
823,Item 641,Attribute6
824,Item 642,Attribute6|Attribute12
828,Item 643,Attribute1|Attribute3
829,Item 644,Attribute4|Attribute5|Attribute14
830,Item 645,Attribute4
832,Item 646,Attribute9|Attribute10
833,Item 647,Attribute4
835,Item 648,Attribute6
836,Item 649,Attribute8|Attribute1|Attribute10
837,Item 650,Attribute3|Attribute4|Attribute5
838,Item 651,Attribute4|Attribute6|Attribute7
839,Item 652,Attribute8|Attribute10
840,Item 653,Attribute3|Attribute4
841,Item 654,Attribute13
842,Item 655,Attribute4|Attribute13
848,Item 656,Attribute6
849,Item 657,Attribute8|Attribute1|Attribute11|Attribute10
851,Item 658,Attribute6
852,Item 659,Attribute4|Attribute6|Attribute7
858,Item 660,Attribute9|Attribute6
861,Item 661,Attribute8|Attribute4|Attribute9|Attribute10
866,Item 662,Attribute9|Attribute6|Attribute7|Attribute10
867,Item 663,Attribute4|Attribute9
869,Item 664,Attribute9|Attribute6|Attribute14|Attribute10
870,Item 665,Attribute4
875,Item 666,Attribute8|Attribute9|Attribute6
876,Item 667,Attribute8|Attribute4|Attribute9|Attribute10
879,Item 668,Attribute13|Attribute10
880,Item 669,Attribute11|Attribute10
881,Item 670,Attribute3|Attribute4
882,Item 671,Attribute6|Attribute10
885,Item 672,Attribute3|Attribute6|Attribute5
886,Item 673,Attribute8|Attribute4|Attribute9
888,Item 674,Attribute1|Animation|Attribute3|Attribute14
889,Item 675,Attribute6|Attribute7
891,Item 676,Attribute13|Attribute10
892,Item 677,Attribute4|Attribute6|Attribute7
893,Item 678,Attribute6
896,Item 679,Attribute6
897,Item 680,Attribute1|Attribute6|Attribute7|Attribute16
898,Item 681,Attribute4|Attribute6|Attribute7
899,Item 682,Attribute4|Attribute14|Attribute7
900,Item 683,Attribute14|Attribute7
901,Item 684,Attribute4|Attribute14
902,Item 685,Attribute6|Attribute7
903,Item 686,Attribute6|Attribute12|Attribute7|Attribute10
904,Item 687,Attribute12|Attribute10
905,Item 688,Attribute4|Attribute7
906,Item 689,Attribute6|Attribute10
907,Item 690,Attribute4|Attribute14|Attribute7
908,Item 691,Attribute8|Attribute1|Attribute12|Attribute7|Attribute10
909,Item 692,Attribute4|Attribute6|Attribute7
910,Item 693,Attribute4|Attribute9
911,Item 694,Attribute4|Attribute9|Attribute12|Attribute7|Attribute10
912,Item 695,Attribute6|Attribute7
913,Item 696,Attribute19|Attribute12
