asin,title,price,imUrl,brand,categories,description
0681358173,Bear Ear Hoodie Jacket &amp; Poms on drawstrings ~ DARK CREAM BEIGE ~ Size Large,,http://ecx.images-amazon.com/images/I/51JCLkQkBnL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Women', 'Petite', 'Fashion Hoodies & Sweatshirts', 'Fashion Hoodies']]",Adorable fleece teddy bear ear sweater for adult or teens. comes with poms poms
0681256036,Twilight Saga: New Moon Alice Chocker Necklace Wearable Prop Replica,17.59,http://ecx.images-amazon.com/images/I/51shUz8YTrL._SY300_.jpg,NECA,"[['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Movie & TV Fan', 'Accessories']]",
0756029929,Spanish Third-year Pin Set of 10,11.45,http://ecx.images-amazon.com/images/I/51AqSOl7qLL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Novelty', 'Clothing']]","Spanish Third-year Pin, 1 inch in diameter.  Set of 10."
0756029104,Viva Espanol Pins Set of 10,11.45,http://ecx.images-amazon.com/images/I/51By%2BZpF9DL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Novelty', 'Clothing']]","Viva Espaol pin, 1 x 1 inch. Set of 10."
0742403920,Rectangle Blank Puzzle (12-pack),3.6,http://ecx.images-amazon.com/images/I/51BgWs7DwIL._SY300_.jpg,Instructional Fair,"[['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Costumes & Accessories']]","Designed to be easily decorated with crayons, pencils, paints, or markers, each set includes 12 puzzles measuring 5.5"" x 8"" each."
0765599864,Eagle / Hawk / Parrot Nose Bird Beak Costume Mask,,http://ecx.images-amazon.com/images/I/41N8QNv6zRL._SX300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Costumes & Accessories', 'Masks', 'Kids & Baby']]","This Bird Beak Nose Costume Mask is about 3"", is made of soft vinyl, and straps on with an elastic band around the head. It fits wearers of any age, but is not recommended for children under 3 years of age. It makes for a simple costume all by itself, or serves as a great addition to other full costumes."
0839933363,Death Note Anime Manga: Cross Logo necklace,,http://ecx.images-amazon.com/images/I/51f0HkHssyL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Costumes & Accessories']]","This necklace from the popular manga and anime series, Death Note. The necklace's charm is black and silver with the text, ""Death Note"" upon it. The approx. length of the necklace is 12""Dimension & Measurement:Length: Approx. 12"""
1028907516,New Lava Iron Blue Samurai Metal LED Faceless Black Bracelet Watch,6.29,http://ecx.images-amazon.com/images/I/51-qMpRXBjL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Women', 'Watches', 'Wrist Watches']]",
1094780162,Men Automatic U1 Skeleton Mechanical Watch Metal/Leather,19.15,http://ecx.images-amazon.com/images/I/51c8R8f-2AL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Men', 'Watches', 'Wrist Watches']]",
0123456479,SHINING IMAGE HUGE PINK LEATHER JEWELRY BOX / CASE / STORAGE / ORGANIZER WITH TRAVEL CASE AND LOCK,64.98,http://ecx.images-amazon.com/images/I/413tGhqoOTL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Jewelry Accessories', 'Jewelry Boxes & Organizers', 'Jewelry Boxes']]","Elegance par excellence. Hand-crafted of the finest sleekest pink leather, innovative in design, delicious tone, this jewelry box features convenient compartments, unique fold out panel design for hanging necklaces and bracelets, adorable mini travel case, gleaming gold-plated clasps, and large capacity to hold even the largest jewelry collections, Showcase your collection in glamour and style in this timeless jewelry case.
This large beautiful leather jewelry box features 4 separate sections (see picture). It can be easily closed with a snap (see picture) and secured with a lock. It also features 24k gold-plated lock and clasps, lined in silsuede and finished in oiled leather and durable synthahide. It measures 10.25inchx8.5inchx7.5inch."
0456838384,Riz Small Unisex (Mens/ Womens) Black Classic Wayfarer Sunglasses with Gradient Smoked Lenses - NEW 'Cool Blue Technology' Lenses,,http://ecx.images-amazon.com/images/I/31b1J21ildL._SX342_.jpg,,"[['Clothing, Shoes & Jewelry', 'Women', 'Accessories', 'Sunglasses & Eyewear Accessories', 'Sunglasses'], ['Clothing, Shoes & Jewelry', 'Men', 'Accessories', 'Sunglasses & Eyewear Accessories', 'Sunglasses'], ['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Band & Music Fan', 'Accessories']]",
1304567583,Pink Bikini Swimwear Glow in the Dark Fashion,19.99,http://ecx.images-amazon.com/images/I/41pS%2B98jhlL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Costumes & Accessories', 'Costumes']]",pink bikini swimwear glow in the dark fashion
1304567613,Bikini Swimwear Blue Glow in the Dark Fashion,29.99,http://ecx.images-amazon.com/images/I/41ZNIUvYkyL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Costumes & Accessories', 'Costumes']]",Bikini Swimwear glow in the dark fashion blue
1304743128,Glow in the Dark Fashion Beaded Penuar,19.99,http://ecx.images-amazon.com/images/I/41qSrLck4gL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Costumes & Accessories', 'Costumes', 'Kids & Baby', 'Girls']]",glow in the dark fashion penuar
1304743594,Watch Black Match Iphone,,http://ecx.images-amazon.com/images/I/4135gTwjsiL._SX300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Women', 'Watches', 'Wrist Watches']]",
1397458135,New Smart Steampunk Globle Motorcycle Carving Retro Brass Case Men Pocket Watch,19.9,http://ecx.images-amazon.com/images/I/51qbcJnsnWL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Men', 'Watches', 'Pocket Watches']]","Watch Case Size: Approx 4.80cm
Watch Case Material: Alloy
Watch Dial Color: White
Chain Material: Alloy
Chain Color: Bronze
Daily Water Resistant (not for swimming or showering): Yes
 (2.54cm=1.00inch)"
139475891X,Stylish Triple Time Zones Black Leather Military Pilot Aviator Sport Men Watch,6.43,http://ecx.images-amazon.com/images/I/51VCgWSe9TL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Men', 'Watches', 'Wrist Watches']]",
1394751931,Luxury Dark Angel's Heart Women Crystal Bracelet Bangle Quartz Wrist Watch w/Box,,http://ecx.images-amazon.com/images/I/51wCNVS%2BWaL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Women', 'Watches', 'Wrist Watches']]",
1340918064,NEW Embossed Sailing Vessel Voyage Retro Bronze Case Mens Pocket Watch Steampunk,,http://ecx.images-amazon.com/images/I/51ufgjhugbL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Men', 'Watches', 'Pocket Watches']]","Watch Case Size: Approx 4.80cm
Watch Case Material: Alloy
Watch Dial Color: White
Chain Material: Alloy
Chain Color: Bronze
Daily Water Resistant (not for swimming or showering): Yes
 (2.54cm=1.00inch)"
1403799385,Tibet Silver Inlay Red Jade Men's Ring,14.95,http://ecx.images-amazon.com/images/I/51NEhmPUy1L._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Novelty', 'Jewelry', 'Rings']]",
1412718031,Carter's Basic White SLEEVELESS Bodysuits,22.0,http://ecx.images-amazon.com/images/I/41ByEQhZmZL._SX342_.jpg,,"[['Clothing, Shoes & Jewelry', 'Baby', 'Baby Girls', 'Clothing', 'Bodysuits'], ['Clothing, Shoes & Jewelry', 'Baby', 'Baby Boys', 'Clothing', 'Bodysuits']]",
1465014578,2013 Desk Pad Calendar,,http://ecx.images-amazon.com/images/I/51NadiHHHsL._SX342_.jpg,,"[['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Band & Music Fan', 'Accessories']]",
1412719410,My First Story Reader with 3-Book Sesame Street Library: In the Garden; So It Grows; Let's Pretend,32.41,http://ecx.images-amazon.com/images/I/51Cf%2B9-o3lL._SY300_.jpg,EDUCATORS RESOURCE,"[['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Jewelry Accessories', 'Jewelry Boxes & Organizers', 'Jewelry Boxes']]","My First Story Reader with 3 Sesame Street Storybooks: So it Grows; Let's Pretend; In the Gardenwas created by developmental education experts and features stories for babies and toddlers ages 6 months to 3 years. The three interactive storybooks, featuring familiar Sesame Street characters, are designed for use in the My First Story Reader console (included).My First Story Reader uses two play options that teach the first steps to reading, sound identification, matching, shapes and colors. In the ""Read to Me Mode,"" children turn the pages to hear a friendly narrator. Fun sounds and lively music make the story come to life. In ""Activity Mode,"" children press the three big buttons to answer simple questions about colors and shapes.The three storybooks are spiral-bound and made of sturdy board pages that hold up to rough handling. Here is a quick synopsis of the collection, which features Elmo, Big Bird, Zoe, and more Sesame Street characters:So It Grows. Elmo and his friends discover plants, animals, and insects in nature, and learn how they grow from small to large.Let's Pretend. Children can join the Sesame Street crew as it ""sails the sea"" in the bath tub. Pretend a decorated paper bag is a puppet, turn an egg carton into a jewelry box, and have more imaginative adventures.In the Garden. Elmo takes his friends through the steps of preparing, planting, nurturing, and harvesting a garden.My First Story Reader with 3 Sesame Street Storybooks: So it Grows; Let's Pretend; In the Gardenconforms to the safety requirements of ASTM F963-03, EN71, and the safety requirements of Canadian Hazardous Products (Toys) Regulations. The unit is powered by three AAA batteries (included)."
1593153767,&quot;I Love Yaoi&quot; Lucky Bag: Black,18.0,http://ecx.images-amazon.com/images/I/41dKc8EOlnL._SX300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Luggage & Travel Gear', 'Messenger Bags']]",
1595067566,NFL New York Giants Super Bowl XLII Champions Dangle Earrings,3.99,http://ecx.images-amazon.com/images/I/31NFtAABMYL._SX300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Novelty', 'Jewelry', 'Earrings']]","This is the NFL New York Giants Super Bowl XLII Champions Dangle Earrings.  The earrings are in the shape of a football, they have the Giants logo and read Super Bowl XLII Champions."
1564518620,Pentomino Pattern Cards,,http://ecx.images-amazon.com/images/I/41rdgZaBn5L._SX300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Costumes & Accessories', 'Masks', 'Kids & Baby']]","Provide scores of logical-thinking and problem-solving activities with Pentomino Pattern Cards! The card activities range from Beginner"" to ""Expert"" and the set includes 16 double-sided, coated cards, each measuring 8.5"" x 11"" (21.5 x 28cm) each. An activity sheet is also included."
1608299953,,179.0,http://ecx.images-amazon.com/images/I/512RG9NTeSL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Luggage & Travel Gear'], ['Software', 'Education & Reference', 'Languages']]",
1608299740,,179.0,http://ecx.images-amazon.com/images/I/51XkHuL3SWL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Luggage & Travel Gear'], ['Software', 'Education & Reference', 'Languages']]",
1608299899,,207.99,http://ecx.images-amazon.com/images/I/51D-TLRxZuL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Luggage & Travel Gear', 'Luggage'], ['Software', 'Education & Reference', 'Languages']]",
1608322181,Bambino Balls Short Sleeve Tennis Outfit,,http://ecx.images-amazon.com/images/I/41l1lDBaLgL._SX342_.jpg,,"[['Clothing, Shoes & Jewelry', 'Baby', 'Baby Boys', 'Clothing', 'Bodysuits']]",
1608322130,Bambino Balls Short Sleeve Soccer Outfit,,http://ecx.images-amazon.com/images/I/41FyDoNwh%2BL._SX342_.jpg,,"[['Clothing, Shoes & Jewelry', 'Baby', 'Baby Boys', 'Clothing', 'Bodysuits']]",
1617160040,,179.0,http://ecx.images-amazon.com/images/I/510dEFxZTgL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Luggage & Travel Gear'], ['Software', 'Education & Reference', 'Languages']]",
1608322262,Bambino Balls Short Sleeve Football Outfit Brown and White,,http://ecx.images-amazon.com/images/I/41uEtVIDtVL._SX342_.jpg,,"[['Clothing, Shoes & Jewelry', 'Baby', 'Baby Boys', 'Clothing', 'Bodysuits']]",
1617160253,,179.0,http://ecx.images-amazon.com/images/I/51GNDP%2BH90L._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Luggage & Travel Gear', 'Luggage'], ['Software', ""Children's""], ['Software', 'Education & Reference', 'Languages']]",
1617160377,,179.0,http://ecx.images-amazon.com/images/I/51meMRCNVTL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Luggage & Travel Gear'], ['Software', 'Education & Reference', 'Languages']]",
1617160199,,191.14,http://ecx.images-amazon.com/images/I/51LSzDICYnL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Luggage & Travel Gear', 'Luggage'], ['Software', 'Education & Reference', 'Languages']]",
1617160520,,179.0,http://ecx.images-amazon.com/images/I/51-hj5cSU7L._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Luggage & Travel Gear', 'Luggage'], ['Software', 'Education & Reference', 'Languages']]",
1617160768,,179.0,http://ecx.images-amazon.com/images/I/51ScxSLn1yL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Luggage & Travel Gear', 'Luggage'], ['Software', 'Education & Reference', 'Languages']]",
1617160318,,179.0,http://ecx.images-amazon.com/images/I/519SrDHt86L._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Luggage & Travel Gear', 'Luggage'], ['Software', ""Children's""], ['Software', 'Education & Reference', 'Languages']]",
1617160709,,179.0,http://ecx.images-amazon.com/images/I/51OaH1N2yzL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Luggage & Travel Gear', 'Luggage'], ['Software', 'Education & Reference', 'Languages']]",
1617160644,,204.93,http://ecx.images-amazon.com/images/I/512QaX29DRL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Luggage & Travel Gear', 'Luggage'], ['Software', 'Education & Reference', 'Languages']]",
1617160156,,399.0,http://ecx.images-amazon.com/images/I/51ebe2kxaHL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Luggage & Travel Gear'], ['Software', 'Education & Reference', 'Languages']]",
1608299627,,201.28,http://ecx.images-amazon.com/images/I/51KJwS4xsEL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Luggage & Travel Gear'], ['Software', 'Education & Reference', 'Languages']]",
1617160911,,182.79,http://ecx.images-amazon.com/images/I/51ESzS8bopL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Luggage & Travel Gear', 'Luggage'], ['Software', 'Education & Reference', 'Languages']]",
1617160466,,179.0,http://ecx.images-amazon.com/images/I/51dW6Mp5-7L._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Luggage & Travel Gear', 'Luggage'], ['Software', 'Education & Reference', 'Languages']]",
1617161128,,185.6,http://ecx.images-amazon.com/images/I/519LbZa8hBL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Luggage & Travel Gear', 'Luggage'], ['Software', ""Children's""], ['Software', 'Education & Reference', 'Languages']]",
161716058X,,197.61,http://ecx.images-amazon.com/images/I/51dOX3iltRL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Luggage & Travel Gear', 'Luggage'], ['Software', ""Children's""], ['Software', 'Education & Reference', 'Languages']]",
161716013X,,179.0,http://ecx.images-amazon.com/images/I/51JNs8OXt3L._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Luggage & Travel Gear', 'Luggage'], ['Software', 'Education & Reference', 'Languages']]",
1620574128,Thinking Kids&#146;&reg; Math Pattern Block Picture Cards,5.99,http://ecx.images-amazon.com/images/I/51xzgyE4BpL._SY300_.jpg,Carson-Dellosa,"[['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Costumes & Accessories']]","The Thinking Kids'(R) Math Pattern Block Picture Cards are a perfect way to bring hands-on learning in the classroom while supporting the Common Core State Standard for math. Pattern block cards are a colorful way to create familiar shapes while also building critical thinking skills and developing visual discrimination. This set includes 12 full-color cards measuring 8.5"" x 11"" each. Cards are large enough for young learners to place their pattern blocks right on top of the cards!"
183465193X,Colors Storm Volcanic Lava Men White Strip Blue Lady LED Date Day Digital Display Plastic Watch,,http://ecx.images-amazon.com/images/I/41T-gSZag0L._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Men', 'Watches', 'Wrist Watches']]",
1848572972,Baby Kiss Book,1.49,http://ecx.images-amazon.com/images/I/511ym8yoWAL._SY300_.jpg,Little Tiger Press,"[['Clothing, Shoes & Jewelry', 'Baby']]",
1864502517,Lonely Planet Thailand,,http://ecx.images-amazon.com/images/I/5145DN79W8L._SY395_.jpg,,"[['Books', 'Travel', 'Asia', 'Thailand', 'General'], ['Books', 'Travel', 'Asia', 'Southeast'], ['Books', 'Travel', 'Asia', 'General'], ['Clothing, Shoes & Jewelry', 'Men', 'Shoes', 'Fashion Sneakers']]",
1906726205,Stafford Essentials 3 Permanent Press Handkerchiefs,,http://ecx.images-amazon.com/images/I/41PNBGFv8JL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Women', 'Accessories']]","Stafford 3 permanent press handkerchiefs 16""X 16"" 
65% polyester, 35% cotton, machine wash warm, tumble dry."
1617161063,,186.44,http://ecx.images-amazon.com/images/I/51kYEk38WhL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Luggage & Travel Gear', 'Luggage'], ['Software', ""Children's""], ['Software', 'Education & Reference', 'Languages']]",
1935159100,Find Big Al! - University of Alabama,27.01,http://ecx.images-amazon.com/images/I/51oRn6MxhAL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Novelty', 'Clothing']]",Discontinued Item.  Low Quantities Available
1608299562,,195.65,http://ecx.images-amazon.com/images/I/51nAM1NxVPL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Luggage & Travel Gear', 'Luggage'], ['Software', 'Education & Reference', 'Languages']]",
1933027223,Cover Up with Nicky Epstein: Knitted Afghans from her Personal Collection,22.06,http://ecx.images-amazon.com/images/I/51KqC9cuplL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Novelty', 'Jewelry', 'Rings']]","Nicky Epstein - whose blockbuster ""Edge"" books have sold more than 125,000 copies - presents a treasury of fabulous knitted afghans and it's sure to become another hit for this always-popular author. These masterpieces, taken from her personal collection, range from the elegant to the truly fantastic: they'll absolutely enthral and inspire Epstein's many fans and knitters everywhere. Those who favour simplicity will love the monochromatic White Sampler, as well as a blue Wedgewood Afghan. For knitters who like to walk on the wilder side and work with vibrant colours, there's the irresistibly intricate intarsia of a Musical afghan, or the detailed panels of the Twelve Days of Christmas."
1617161004,,206.01,http://ecx.images-amazon.com/images/I/51ycrfYHjnL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Luggage & Travel Gear', 'Luggage'], ['Software', 'Education & Reference', 'Languages']]",
2049768915,Party Gift White Color Silicone Band Calendar Digital Boys Girls Sport LCD Wrist Watch,,http://ecx.images-amazon.com/images/I/51zP2ehf4jL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Boys']]",
2258798612,Vintage Durable Canvas Briefcase School Crossbody Messenger Book Bag (Green),29.99,http://ecx.images-amazon.com/images/I/51Dh4gWIeaL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Luggage & Travel Gear', 'Briefcases']]",Please refer to HD photo for best product details.
2394869135,Retro Style Bronze Skleton Train Arabic Numerals Men Pocket Watch+Chain+Gift Box,25.0,http://ecx.images-amazon.com/images/I/511f0WR27zL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Men', 'Watches', 'Pocket Watches']]","Watch Case Size: Approx 4.80cm

Watch Case Material: Alloy

Watch Dial Color: White 

Chain Material: Alloy

Chain Color: Bronze

Length Of Chain: Approx 36.50cm 

Daily Water Resistant (not for swimming or showering): Yes

(2.54cm=1.00inch)"
2485907463,Trendy Round Dial Roman Numerals Leather Brown Band Office Lady Casual Cuff Watch,,http://ecx.images-amazon.com/images/I/51uU2fKYMpL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Women', 'Watches', 'Wrist Watches']]","Descriptions:
Watch Case Size: Approx 3.20cm
Watch Case Material: Alloy
Width Of Watch Belt: Approx 1.40cm
Watch Belt Material: Leather
Length Of Watch: Approx 22.00cm
Daily Water Resistant (not for swimming or showering): Yes
 ( 2.54cm =1.00inch)
 
Colors may not appear exactly as seen on photo in real life due to variations between the computer monitors and naked eye color difference.
 
Package includes:
1 x Watch"
245687787X,Classic Minimalist Leather Man's Laptop Business Messenger Bag (Black),29.99,http://ecx.images-amazon.com/images/I/51HVaGH6tGL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Luggage & Travel Gear', 'Briefcases']]",Please refer to image for more details.
3293015344,Blessed by Pope Benedetto XVI Wood Religious Bracelet with Black and White pictures Wood,9.99,http://ecx.images-amazon.com/images/I/41n8msKKcUL._SX300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Novelty', 'Jewelry', 'Bracelets']]","This religious item was blessed by Pope Benedict XVI  in Rome, Italy... Included is little card with the blessing and a beautiful organza bag to keep your religious item. We also have some items that have not been blessed but equally beautiful."
2200483236,Fashion Leather &amp; Canvas Carrying Shoulder Tote Bag Crossbody Messenger (Navy Blue),,http://ecx.images-amazon.com/images/I/51CEC44MncL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Luggage & Travel Gear', 'Briefcases']]",Please refer to HD photos for more product details.
1983049581,Silver Super Lustrous Butterfly Bracelet Homemade Style,7.98,http://ecx.images-amazon.com/images/I/41BdF%2B4Q47L._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Novelty', 'Jewelry', 'Bracelets']]","Brand new and high quality
Size: 24x4x0.5cm
Shape: round
Type: Butterfly Bracelet
Luster: super lustrous
Color: Silver
Weight: 0.20oz"
245600258X,La Leela Men's Hawaiian Print Shirt,,http://ecx.images-amazon.com/images/I/515a0tzHkmL._SX342_.jpg,,"[['Clothing, Shoes & Jewelry', 'Men', 'Clothing', 'Shirts', 'Casual Button-Down Shirts'], ['Clothing, Shoes & Jewelry', 'Men', 'Big & Tall', 'Shirts', 'Button-Down Shirts', 'Casual Button-Down Shirts']]",
3999847743,Bockle&reg; New York Leatherjeans Men Pants Leather Jeans New,,http://ecx.images-amazon.com/images/I/41IbAFfCniL._SX342_.jpg,,"[['Clothing, Shoes & Jewelry', 'Men', 'Clothing'], ['Clothing, Shoes & Jewelry', 'Men', 'Big & Tall']]",
3999838167,Fuente Lion Brown Leather Pants trousers Germany,145.0,http://ecx.images-amazon.com/images/I/41rnYT7wq6L._SX342_.jpg,,"[['Clothing, Shoes & Jewelry', 'Men', 'Clothing', 'Pants', 'Casual'], ['Clothing, Shoes & Jewelry', 'Men', 'Big & Tall']]",
4759817492,NEW Classic Simple Black Metal Case White Hand Roman Numerals Mens Pocket Watch,6.85,http://ecx.images-amazon.com/images/I/51T-JOIkUWL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Men', 'Watches', 'Pocket Watches']]","Watch Case Size: Approx 4.80cm
Watch Case Material: Alloy
Watch Dial Color: Black
Chain Material: Alloy
Chain Color: Metallic Black
Daily Water Resistant (not for swimming or showering): Yes
 (2.54cm=1.00inch)"
